title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
apartment,Turkey,"Southeastern Anatolia Region, Dicle, Turkey",2023,4,4,3,2,1,70.0,75.0,178028.0,https://realting.com/uploads/bigSlider/85f/851f407d27678ac1853dba2fa8bcd.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1699765
3 room apartment,Turkey,"Sekerhane Mahallesi, Alanya, Turkey",2023,3,3,3,2,1,110.0,75.0,158751.0,https://realting.com/uploads/bigSlider/a5e/a497ce018a52f.webp,https://realting.com/property-for-sale/turkey/renaissance-estate/1540506
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,2,3,2,1,61.0,75.0,216514.0,https://realting.com/uploads/bigSlider/2ae/926694e49e4e3.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1657318
1 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,,4,3,1,1,74.0,75.0,271732.0,https://realting.com/uploads/bigSlider/062/a43c2c8091736bc233ad1bdd31766.webp,https://realting.com/property-for-sale/montenegro/zuma-real-estate-ltd/1558432
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,68.0,75.0,271732.0,https://realting.com/uploads/bigSlider/7c1/a0c7eaad2e3c2e31c0487dde84eaf.webp,https://realting.com/property-for-sale/montenegro/estate-monte-group/1733856
2 room apartment,Montenegro,Montenegro,2023,,4,3,2,1,60.0,75.0,308748.0,https://realting.com/uploads/bigSlider/7c0/507176cc8927f.webp,https://realting.com/property-for-sale/montenegro/a-place-in-montenegro/794031
2 room apartment,Montenegro,"Kotor Municipality, Montenegro",2023,,4,3,2,3,97.0,75.0,255739.0,https://realting.com/uploads/bigSlider/188/35cae6fc362e008f390897f312136.webp,https://realting.com/property-for-sale/montenegro/first-realty/1707506
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,2,2,1,78.0,75.0,285862.0,https://realting.com/uploads/bigSlider/c6d/892435a13e5e3.webp,https://realting.com/property-for-sale/montenegro/westhill-property-d-o-o/1418927
1 room studio apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2024,9,3,1,2,1,43.0,75.0,92767.0,https://realting.com/uploads/bigSlider/3aa/bc3983b62cd39c960adff8a58f963.webp,https://realting.com/uzbekistan/property/1717516
3 room apartment,Uzbekistan,"Shaykhontohur Tumani, Uzbekistan",2023,16,4,3,2,1,76.0,75.0,102397.0,https://realting.com/uploads/bigSlider/743/4b4fc6bc9e06882c4d18c8544f68c.webp,https://realting.com/uzbekistan/property/1760515
