title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"4 room apartment 246 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",,22.0,,5.0,4.0,,246 m²,,1864082.0,https://realting.com/uploads/bigSlider/644/86e86485a6cf058eef3dcda591080.webp,https://realting.com/property-for-sale/turkey/tranio/1505881
"4 room apartment 235 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,4.0,,235 m²,,1956471.0,https://realting.com/uploads/bigSlider/bdf/e5cf282ab0013b39f880d8d1b239f.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634414
"4 room apartment 534 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,4.0,,534 m²,,10393207.0,https://realting.com/uploads/bigSlider/041/5122ea2bf0fbce77016ee9a067249.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634156
"3 room apartment 223 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2013.0,44.0,,4.0,3.0,3.0,223 m²,150 m²,2059729.0,https://realting.com/uploads/bigSlider/ca0/08add74ae6c3e25363ff3706dfbe0.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731730
"4 room apartment 208 m² in Zeytinburnu, Turkey",Turkey,"Zeytinburnu, Marmara Region, Turkey",2020.0,18.0,,5.0,4.0,3.0,208 m²,145 m²,1907559.0,https://realting.com/uploads/bigSlider/b7c/05dfc1756ae61385d3145b1ca2d8c.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1732113
"6 room apartment 878 m² in Bitez, Turkey",Turkey,"Bitez, Aegean Region, Bodrum, Turkey",,,,,6.0,,878 m²,,11085461.0,https://realting.com/uploads/bigSlider/037/a111cf7e58e9b44a5c859c64b4082.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634402
"3 room apartment 237 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,4.0,3.0,,237 m²,,2086144.0,https://realting.com/uploads/bigSlider/409/27f2b65fc507989a8edda5ac6dee3.webp,https://realting.com/property-for-sale/turkey/mercury-group/1589016
"4 room apartment 237 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,4.0,3.0,237 m²,,2176914.0,https://realting.com/uploads/bigSlider/cc3/58ecca3640f0f.webp,https://realting.com/property-for-sale/turkey/trem-global/1272990
"5 room apartment 291 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,5.0,,291 m²,,2176030.0,https://realting.com/uploads/bigSlider/14c/c4ca4b0e8efe3.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634316
"3 room apartment 237 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,4.0,3.0,,237 m²,,2086144.0,https://realting.com/uploads/bigSlider/abc/3286d100333e8b41d3def05b89af3.webp,https://realting.com/property-for-sale/turkey/mercury-group/1589021
"5 room apartment 400 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,5.0,,400 m²,,1693545.0,https://realting.com/uploads/bigSlider/9ea/01e31689ba94f.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1634211
"2 room apartment 106 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,2.0,,106 m²,,1190186.0,https://realting.com/uploads/bigSlider/fe6/45e2ddcb36985eb14f4bffb0f0eed.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1633874
"4 room apartment 270 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,5.0,4.0,,270 m²,,1000712.0,https://realting.com/uploads/bigSlider/8ee/ba9c80c53d0fc82c3a80e06f27b00.webp,https://realting.com/property-for-sale/turkey/mercury-group/1588859
"2 room apartment 114 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",,,,1.0,2.0,2.0,114 m²,,1400000.0,https://realting.com/uploads/bigSlider/b23/555c0afc8303f.webp,https://realting.com/property-for-sale/turkey/trem-global/1272872
"2 room apartment 90 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",,11.0,5.0,3.0,2.0,,90 m²,,346730.0,https://realting.com/uploads/bigSlider/973/b57c8d2a07a337099d90b1c829972.webp,https://realting.com/property-for-sale/turkey/premium-real-estate-nsm/1750758
"2 room apartment 137 m² in Bodrum, Turkey",Turkey,"Aegean Region, Bodrum, Turkey",2022.0,,,3.0,2.0,2.0,137 m²,118 m²,1358660.0,https://realting.com/uploads/bigSlider/106/18d44b54996ad97113054c555220e.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731062
"3 room apartment 169 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2025.0,10.0,,4.0,3.0,2.0,169 m²,130 m²,1766258.0,https://realting.com/uploads/bigSlider/0b8/b37129c0501ce25a4594aa3d0efb5.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731137
"3 room apartment 166 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2024.0,12.0,,4.0,3.0,2.0,166 m²,120 m²,2027121.0,https://realting.com/uploads/bigSlider/36c/8637d29444a7b8adb1e1773751155.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1727356
"6 room apartment 670 m² in Bahcelievler Mahallesi, Turkey",Turkey,"Bahcelievler Mahallesi, Marmara Region, Turkey",,,,,6.0,,670 m²,,2297766.0,https://realting.com/uploads/bigSlider/278/ee1308ce7d827.webp,https://realting.com/property-for-sale/turkey/deniz-estate/1633897
"5 room apartment 310 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2023.0,43.0,,6.0,5.0,3.0,310 m²,242 m²,2097771.0,https://realting.com/uploads/bigSlider/a3d/2c329c383bb160803a9320aef50e1.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731113
